,Presente,Imperfetto,Passato remoto,Futuro semplice,Passato prossimo,Trapassato prossimo,Trapassato remoto,Futuro anteriore,Congiuntivo presente,Congiuntivo imperfetto,Congiuntivo passato,Congiuntivo trapassato,Condizionale semplice,Condizionale composto,Imperativo
accendere,"['accendo', 'accendi', 'accende', 'accendiamo', 'accendete', 'accendono']","['accendevo', 'accendevi', 'accendeva', 'accendevamo', 'accendevate', 'accendevano']","['accesi', 'accendesti', 'accese', 'accendemmo', 'accendeste', 'accesero']","['accenderò', 'accenderai', 'accenderà', 'accenderemo', 'accenderete', 'accenderanno']","['ho acceso', 'hai acceso', 'ha acceso', 'abbiamo acceso', 'avete acceso', 'hanno acceso']","['avevo acceso', 'avevi acceso', 'aveva acceso', 'avevamo acceso', 'avevate acceso', 'avevano acceso']","['ebbi acceso', 'avesti acceso', 'ebbe acceso', 'avemmo acceso', 'aveste acceso', 'ebbero acceso']","['avrò acceso', 'avrai acceso', 'avrà acceso', 'avremo acceso', 'avrete acceso', 'avranno acceso']","['accenda', 'accenda', 'accenda', 'accendiamo', 'accendiate', 'accendano']","['accendessi', 'accendessi', 'accendesse', 'accendessimo', 'accendeste', 'accendessero']","['abbia acceso', 'abbia acceso', 'abbia acceso', 'abbiamo acceso', 'abbiate acceso', 'abbiano acceso']","['avessi acceso', 'avessi acceso', 'avesse acceso', 'avessimo acceso', 'aveste acceso', 'avessero acceso']","['accenderei', 'accenderesti', 'accenderebbe', 'accenderemmo', 'accendereste', 'accenderebbero']","['avrei acceso', 'avresti acceso', 'avrebbe acceso', 'avremmo acceso', 'avreste acceso', 'avrebbero acceso']","['==', 'accendi', 'accenda', 'accendiamo', 'accendete', 'accendano']"
andare,"['vado', 'vai', 'va', 'andiamo', 'andate', 'vanno']","['andavo', 'andavi', 'andava', 'andavamo', 'andavate', 'andavano']","['andai', 'andasti', 'andò', 'andammo', 'andaste', 'andarono']","['andrò', 'andrai', 'andrà', 'andremo', 'andrete', 'andranno']","['sono andato/a', 'sei andato/a', 'è andato/a', 'siamo andati/e', 'siete andati/e', 'sono andati/e']","['ero andato/a', 'eri andato/a', 'era andato/a', 'eravamo andati/e', 'eravate andati/e', 'erano andati/e']","['fui andato/a', 'fosti andato/a', 'fu andato/a', 'fummo andati/e', 'foste andati/e', 'furono andati/e']","['sarò andato/a', 'sarai andato/a', 'sarà andato/a', 'saremo andati/e', 'sarete andati/e', 'saranno andati/e']","['vada', 'vada', 'vada', 'andiamo', 'andiate', 'vadano']","['andassi', 'andassi', 'andasse', 'andassimo', 'andaste', 'andassero']","['sia andato/a', 'sia andato/a', 'sia andato/a', 'siamo andati/e', 'siate andati/e', 'siano andati/e']","['fossi andato/a', 'fossi andato/a', 'fosse andato/a', 'fossimo andati/e', 'foste andati/e', 'fossero andati/e']","['andrei', 'andresti', 'andrebbe', 'andremmo', 'andreste', 'andrebbero']","['sarei andato/a', 'saresti andato/a', 'sarebbe andato/a', 'saremmo andati/e', 'sareste andati/e', 'sarebbero andati/e']","['==', 'va/va‘/vai', 'vada', 'andiamo', 'andate', 'vadano']"
appendere,"['appendo', 'appendi', 'appende', 'appendiamo', 'appendete', 'appendono']","['appendevo', 'appendevi', 'appendeva', 'appendevamo', 'appendevate', 'appendevano']","['appesi', 'appendesti', 'appese', 'appendemmo', 'appendeste', 'appesero']","['appenderò', 'appenderai', 'appenderà', 'appenderemo', 'appenderete', 'appenderanno']","['ho appeso', 'hai appeso', 'ha appeso', 'abbiamo appeso', 'avete appeso', 'hanno appeso']","['avevo appeso', 'avevi appeso', 'aveva appeso', 'avevamo appeso', 'avevate appeso', 'avevano appeso']","['ebbi appeso', 'avesti appeso', 'ebbe appeso', 'avemmo appeso', 'aveste appeso', 'ebbero appeso']","['avrò appeso', 'avrai appeso', 'avrà appeso', 'avremo appeso', 'avrete appeso', 'avranno appeso']","['appenda', 'appenda', 'appenda', 'appendiamo', 'appendiate', 'appendano']","['appendessi', 'appendessi', 'appendesse', 'appendessimo', 'appendeste', 'appendessero']","['abbia appeso', 'abbia appeso', 'abbia appeso', 'abbiamo appeso', 'abbiate appeso', 'abbiano appeso']","['avessi appeso', 'avessi appeso', 'avesse appeso', 'avessimo appeso', 'aveste appeso', 'avessero appeso']","['appenderei', 'appenderesti', 'appenderebbe', 'appenderemmo', 'appendereste', 'appenderebbero']","['avrei appeso', 'avresti appeso', 'avrebbe appeso', 'avremmo appeso', 'avreste appeso', 'avrebbero appeso']","['==', 'appendi', 'appenda', 'appendiamo', 'appendete', 'appendano']"
apprendere,"['apprendo', 'apprendi', 'apprende', 'apprendiamo', 'apprendete', 'apprendono']","['apprendevo', 'apprendevi', 'apprendeva', 'apprendevamo', 'apprendevate', 'apprendevano']","['appresi', 'apprendesti', 'apprese', 'apprendemmo', 'apprendeste', 'appresero']","['apprenderò', 'apprenderai', 'apprenderà', 'apprenderemo', 'apprenderete', 'apprenderanno']","['ho appreso', 'hai appreso', 'ha appreso', 'abbiamo appreso', 'avete appreso', 'hanno appreso']","['avevo appreso', 'avevi appreso', 'aveva appreso', 'avevamo appreso', 'avevate appreso', 'avevano appreso']","['ebbi appreso', 'avesti appreso', 'ebbe appreso', 'avemmo appreso', 'aveste appreso', 'ebbero appreso']","['avrò appreso', 'avrai appreso', 'avrà appreso', 'avremo appreso', 'avrete appreso', 'avranno appreso']","['apprenda', 'apprenda', 'apprenda', 'apprendiamo', 'apprendiate', 'apprendano']","['apprendessi', 'apprendessi', 'apprendesse', 'apprendessimo', 'apprendeste', 'apprendessero']","['abbia appreso', 'abbia appreso', 'abbia appreso', 'abbiamo appreso', 'abbiate appreso', 'abbiano appreso']","['avessi appreso', 'avessi appreso', 'avesse appreso', 'avessimo appreso', 'aveste appreso', 'avessero appreso']","['apprenderei', 'apprenderesti', 'apprenderebbe', 'apprenderemmo', 'apprendereste', 'apprenderebbero']","['avrei appreso', 'avresti appreso', 'avrebbe appreso', 'avremmo appreso', 'avreste appreso', 'avrebbero appreso']","['==', 'apprendi', 'apprenda', 'apprendiamo', 'apprendete', 'apprendano']"
attendere,"['attendo', 'attendi', 'attende', 'attendiamo', 'attendete', 'attendono']","['attendevo', 'attendevi', 'attendeva', 'attendevamo', 'attendevate', 'attendevano']","['attesi', 'attendesti', 'attese', 'attendemmo', 'attendeste', 'attesero']","['attenderò', 'attenderai', 'attenderà', 'attenderemo', 'attenderete', 'attenderanno']","['ho atteso', 'hai atteso', 'ha atteso', 'abbiamo atteso', 'avete atteso', 'hanno atteso']","['avevo atteso', 'avevi atteso', 'aveva atteso', 'avevamo atteso', 'avevate atteso', 'avevano atteso']","['ebbi atteso', 'avesti atteso', 'ebbe atteso', 'avemmo atteso', 'aveste atteso', 'ebbero atteso']","['avrò atteso', 'avrai atteso', 'avrà atteso', 'avremo atteso', 'avrete atteso', 'avranno atteso']","['attenda', 'attenda', 'attenda', 'attendiamo', 'attendiate', 'attendano']","['attendessi', 'attendessi', 'attendesse', 'attendessimo', 'attendeste', 'attendessero']","['abbia atteso', 'abbia atteso', 'abbia atteso', 'abbiamo atteso', 'abbiate atteso', 'abbiano atteso']","['avessi atteso', 'avessi atteso', 'avesse atteso', 'avessimo atteso', 'aveste atteso', 'avessero atteso']","['attenderei', 'attenderesti', 'attenderebbe', 'attenderemmo', 'attendereste', 'attenderebbero']","['avrei atteso', 'avresti atteso', 'avrebbe atteso', 'avremmo atteso', 'avreste atteso', 'avrebbero atteso']","['==', 'attendi', 'attenda', 'attendiamo', 'attendete', 'attendano']"
avere,"['ho', 'hai', 'ha', 'abbiamo', 'avete', 'hanno']","['avevo', 'avevi', 'aveva', 'avevamo', 'avevate', 'avevano']","['ebbi', 'avesti', 'ebbe', 'avemmo', 'aveste', 'ebbero']","['avrò', 'avrai', 'avrà', 'avremo', 'avrete', 'avranno']","['ho avuto', 'hai avuto', 'ha avuto', 'abbiamo avuto', 'avete avuto', 'hanno\xa0avuto']","['avevo avuto', 'avevi avuto', 'aveva avuto', 'avevamo avuto', 'avevate avuto', 'avevano\xa0avuto']","['ebbi avuto', 'avesti avuto', 'ebbe avuto', 'avemmo avuto', 'aveste avuto', 'ebbero avuto']","['avrò avuto', 'avrai avuto', 'avrà avuto', 'avremo avuto', 'avrete avuto', 'avranno\xa0avuto']","['abbia', 'abbia', 'abbia', 'abbiamo', 'abbiate', 'abbiano']","['avessi', 'avessi', 'avesse', 'avessimo', 'aveste', 'avessero']","['abbia avuto', 'abbia avuto', 'abbia avuto', 'abbiamo avuto', 'abbiate avuto', 'abbiano avuto']","['avessi avuto', 'avessi avuto', 'avesse avuto', 'avessimo avuto', 'aveste avuto', 'avessero avuto']","['avrei', 'avresti', 'avrebbe', 'avremmo', 'avreste', 'avrebbero']","['avrei avuto', 'avresti avuto', 'avrebbe avuto', 'avremmo avuto', 'avreste avuto', 'avrebbero avuto']","['==', 'abbi', 'abbia', 'abbiamo', 'abbiate', 'abbiano']"
comprendere,"['comprendo', 'comprendi', 'comprende', 'comprendiamo', 'comprendete', 'comprendono']","['comprendevo', 'comprendevi', 'comprendeva', 'comprendevamo', 'comprendevate', 'comprendevano']","['compresi', 'comprendesti', 'comprese', 'comprendemmo', 'comprendeste', 'compresero']","['comprenderò', 'comprenderai', 'comprenderà', 'comprenderemo', 'comprenderete', 'comprenderanno']","['ho compreso', 'hai compreso', 'ha compreso', 'abbiamo compreso', 'avete compreso', 'hanno compreso']","['avevo compreso', 'avevi compreso', 'aveva compreso', 'avevamo compreso', 'avevate compreso', 'avevano compreso']","['ebbi compreso', 'avesti compreso', 'ebbe compreso', 'avemmo compreso', 'aveste compreso', 'ebbero compreso']","['avrò compreso', 'avrai compreso', 'avrà compreso', 'avremo compreso', 'avrete compreso', 'avranno compreso']","['comprenda', 'comprenda', 'comprenda', 'comprendiamo', 'comprendiate', 'comprendano']","['comprendessi', 'comprendessi', 'comprendesse', 'comprendessimo', 'comprendeste', 'comprendessero']","['abbia compreso', 'abbia compreso', 'abbia compreso', 'abbiamo compreso', 'abbiate compreso', 'abbiano compreso']","['avessi compreso', 'avessi compreso', 'avesse compreso', 'avessimo compreso', 'aveste compreso', 'avessero compreso']","['comprenderei', 'comprenderesti', 'comprenderebbe', 'comprenderemmo', 'comprendereste', 'comprenderebbero']","['avrei compreso', 'avresti compreso', 'avrebbe compreso', 'avremmo compreso', 'avreste compreso', 'avrebbero compreso']","['==', 'comprendi', 'comprenda', 'comprendiamo', 'comprendete', 'comprendano']"
dare,"['do', 'dai', 'dà', 'diamo', 'date', 'danno']","['davo', 'davi', 'dava', 'davamo', 'davate', 'davano']","['diedi/detti', 'desti', 'diede/dette', 'demmo', 'deste', 'diedero/dettero']","['darò', 'darai', 'darà', 'daremo', 'darete', 'daranno']","['ho dato', 'hai dato', 'ha dato', 'abbiamo dato', 'avete dato', 'hanno dato']","['avevo dato', 'avevi dato', 'aveva dato', 'avevamo dato', 'avevate dato', 'avevano dato']","['ebbi dato', 'avesti dato', 'ebbe dato', 'avemmo dato', 'aveste dato', 'ebbero dato']","['avrò dato', 'avrai dato', 'avrà dato', 'avremo dato', 'avrete dato', 'avranno dato']","['dia', 'dia', 'dia', 'diamo', 'diate', 'diano']","['dessi', 'dessi', 'desse', 'dessimo', 'deste', 'dessero']","['abbia dato', 'abbia dato', 'abbia dato', 'abbiamo dato', 'abbiate dato', 'abbiano dato']","['avessi dato', 'avessi dato', 'avesse dato', 'avessimo dato', 'aveste dato', 'avessero dato']","['darei', 'daresti', 'darebbe', 'daremmo', 'dareste', 'darebbero']","['avrei dato', 'avresti dato', 'avrebbe dato', 'avremmo dato', 'avreste dato', 'avrebbero dato']","['==', 'dà/da’/dai', 'dia', 'diamo', 'date', 'diano']"
difendere,"['difendo', 'difendi', 'difende', 'difendiamo', 'difendete', 'difendono']","['difendevo', 'difendevi', 'difendeva', 'difendevamo', 'difendevate', 'difendevano']","['difesi', 'difendesti', 'difese', 'difendemmo', 'difendeste', 'difesero']","['difenderò', 'difenderai', 'difenderà', 'difenderemo', 'difenderete', 'difenderanno']","['ho difeso', 'hai difeso', 'ha difeso', 'abbiamo\xa0difeso', 'avete difeso', 'hanno\xa0difeso']","['avevo difeso', 'avevi difeso', 'aveva difeso', 'avevamo difeso', 'avevate\xa0difeso', 'avevano\xa0difeso']","['ebbi difeso', 'avesti difeso', 'ebbe difeso', 'avemmo difeso', 'aveste difeso', 'ebbero\xa0difeso']","['avrò difeso', 'avrai difeso', 'avrà difeso', 'avremo difeso', 'avrete difeso', 'avranno\xa0difeso']","['difenda', 'difenda', 'difenda', 'difendiamo', 'difendiate', 'difendano']","['difendessi', 'difendessi', 'difendesse', 'difendessimo', 'difendeste', 'difendessero']","['abbia difeso', 'abbia difeso', 'abbia difeso', 'abbiamo difeso', 'abbiate difeso', 'abbiano\xa0difeso']","['avessi difeso', 'avessi difeso', 'avesse\xa0difeso', 'avessimo\xa0difeso', 'aveste difeso', 'avessero\xa0difeso']","['difenderei', 'difenderesti', 'difenderebbe', 'difenderemmo', 'difendereste', 'difenderebbero']","['avrei\xa0difeso', 'avresti\xa0difeso', 'avrebbe difeso', 'avremmo difeso', 'avreste difeso', 'avrebbero\xa0difeso']","['==', 'difendi', 'difenda', 'difendiamo', 'difendete', 'difendano']"
essere,"['sono', 'sei', 'è', 'siamo', 'siete', 'sono']","['ero', 'eri', 'era', 'eravamo', 'eravate', 'erano']","['fui', 'fosti', 'fu', 'fummo', 'foste', 'furono']","['sarò', 'sarai', 'sarà', 'saremo', 'sarete', 'saranno']","['sono stato/a', 'sei stato/a', 'è stato/a', 'siamo stati/e', 'siete stati/e', 'sono stati/e']","['ero stato/a', 'eri stato/a', 'era stato/a', 'eravamo stati/e', 'eravate stati/e', 'erano stati/e']","['fui stato/a', 'fosti stato/a', 'fu stato/a', 'fummo stati/e', 'foste stati/e', 'furono stati/e']","['sarò stato/a', 'sarai stato/a', 'sarà stato/a', 'saremo stati/e', 'sarete stati/e', 'saranno stati/e']","['sia', 'sia', 'sia', 'siamo', 'siate', 'siano']","['fossi', 'fossi', 'fosse', 'fossimo', 'foste', 'fossero']","['sia stato/a', 'sia stato/a', 'sia stato/a', 'siamo stati/e', 'siate stati/e', 'siano stati/e']","['fossi stato/a', 'fossi stato/a', 'fosse stato/a', 'fossimo stati/e', 'foste stati/e', 'fossero stati/e']","['sarei', 'saresti', 'sarebbe', 'saremmo', 'sareste', 'sarebbero']","['sarei stato/a', 'saresti stato/a', 'sarebbe stato/a', 'saremmo stati/e', 'sareste stati/e', 'sarebbero stati/e']","['==', 'sii', 'sia', 'siamo', 'siate', 'siano']"
